medcodeid,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid,term,readcode,medcode,eth16,eth5
1063981000000117,9i00,9i00.00,494131000000105,1063981000000117,,22,white british - ethnic category 2001 census,9i00.00,98111.0,1. British,0. White
196641000006110,134B,134B.00,413773004,2537215011,,22,race: caucasian,134B.00,,1. British,0. White
459726019,9S10,9S10.00,315236000,459726019,,22,white british,9S10.00,12446.0,1. British,0. White
1780408016,9S14,9S14.00,401214002,1780408016,,22,other white british ethnic group,9S14.00,26310.0,1. British,0. White
1564391000006113,EMISNQBR12,EMISNQBR12,1564391000006109,1564391000006113,,19,british,EMISNQBR12,,1. British,0. White
6846371000006111,^ESCTCA684637,^ESCTCA684637,413773004,2533842018,,22,caucasian,^ESCTCA684637,,1. British,0. White
141451000000116,9i24,9i24.00,92561000000109,141451000000116,,22,northern irish - ethnic category 2001 census,9i24.00,42294.0,1. British,0. White
2486161000000112,9t10,9t10.00,977351000000100,2486161000000112,,22,white - northern ireland ethnic category 2011 census,9t10.00,,1. British,0. White
141431000000111,9i21,9i21.00,92541000000108,141431000000111,,22,scottish - ethnic category 2001 census,9i21.00,12436.0,1. British,0. White
158341000000117,9i0,9i0..00,92391000000108,158341000000117,,22,british or mixed british - ethnic category 2001 census,9i0..00,12351.0,1. British,0. White
142691000000116,9i25,9i25.00,93921000000101,142691000000116,,22,ulster scots - ethnic category 2001 census,9i25.00,40102.0,1. British,0. White
2487281000000112,9t20,9t20.00,977911000000103,2487281000000112,,22,white: scottish - scotland ethnic category 2011 census,9t20.00,,1. British,0. White
141461000000118,9i23,9i23.00,92571000000102,141461000000118,,22,cornish - ethnic category 2001 census,9i23.00,28887.0,1. British,0. White
1968051000006116,9t00,9t00.00,976631000000101,2484631000000115,,22,white:eng/welsh/scot/ni/brit - england and wales 2011 census,9t00.00,,1. British,0. White
1780407014,9S13,9S13.00,401213008,1780407014,,22,white scottish,9S13.00,26467.0,1. British,0. White
141441000000119,9i22,9i22.00,92551000000106,141441000000119,,22,welsh - ethnic category 2001 census,9i22.00,12681.0,1. British,0. White
157281000000117,9i20,9i20.00,110761000000106,157281000000117,,22,english - ethnic category 2001 census,9i20.00,12352.0,1. British,0. White
