medcodeid,term
100681000006116,"thrombosis atrium,auric append&vent/curr comp foll acute mi"
1047381000006114,adverse reaction to trangina xl
108561012,aneurysm of heart
109915012,postmyocardial infarction syndrome
109916013,dressler's syndrome
1142521000000115,coronary heart disease leaflet given
116992017,acute subendocardial infarction
118831000006118,subsequent myocardial infarction of unspecified site
1218860015,acute papillary muscle infarction
1221061012,open angioplasty of coronary artery
1221554018,other autograft bypass of coronary artery
1227364015,[v]presence of coronary artery bypass graft - cabg
1228282017,saphenous vein graft replacement of coronary artery
1232666014,cardiac aneurysm
1234005010,acute inferoposterior infarction
1234306015,acute septal infarction
1235225010,prinzmetal's angina
1235573016,ventricular cardiac aneurysm
142431000006114,single implantation thoracic artery into coronary artery nec
144819018,variant angina pectoris
1484833014,coronary heart disease review
1484939014,coronary heart disease monitoring administration
1484943013,pain to thrombolysis time
1488382011,acute coronary syndrome
1488440011,coronary heart disease medication review
1488846014,cardiac event recording
1489351015,cardiac rehabilitation - phase 1
1489352010,cardiac rehabilitation - phase 2
1489353017,cardiac rehabilitation - phase 3
1489354011,cardiac rehabilitation - phase 4
1539331000006118,h/o: coronary heart disease
1547311000006116,percut translum cutting balloon angioplasty coronary artery
1547631000006117,perc translumin balloon angioplasty stenting coronary artery
1547641000006110,perc translum ball angio insert 1-2 drug elut stents cor art
1547651000006112,perc tran ball angio ins 3 or more drug elut stents cor art
1547661000006114,perc translum balloon angioplasty insert 1-2 stents cor art
1547671000006119,percutaneous cor balloon angiop 3 more stents cor art nec
1547681000006116,os perc translumina balloon angioplast stenting coronary art
1547691000006118,perc translum balloon angioplasty stenting coronary art nos
1548361000006119,percutaneous transluminal atherectomy
1575461000006116,referral to cardiothoracic surgeon
1575471000006111,referral to cardiac surgeon
1575481000006114,referral to pead cardiac surgeon
1576271000006117,cause of death- myocardial infarction
1576301000006115,cause of death- acute myocardial infarction
1576311000006117,cause of death- angina pectoris
158601000006116,ruptur cardiac wall w'out haemopericard/cur comp fol ac mi
158611000006118,ruptur chordae tendinae/curr comp fol acute myocard infarct
159001000006119,rupture papillary muscle/curr comp fol acute myocard infarct
161451000006116,saphenous vein graft bypass of coronary artery
161481000006112,saphenous vein graft replacement of coronary artery os
161491000006110,saphenous vein graft replacement of four+ coronary arteries
1713261000006110,cardiac surgery
1731551000000112,angina self management plan commenced
1731571000000115,angina self management plan completed
1734121000000110,referral to cardiac rehabilitation programme declined
1734241000000113,referral to cardiac rehabilitation programme
1736191000000116,referral to cardiac rehabilitation service by secondary care
1738171000006114,history of myocardial infarction
1752201000000116,frequency of angina
1757251000000117,referral to community cardiology service
1771621000006111,coronary heart disease care plan
1771631000006114,attended cardiac rehabilitation
1774611000006117,referral to community cardiology clinic
1774801000000114,coronary heart disease care plan
1780442013,attends coronary heart disease monitoring
1780444014,coronary heart disease monitoring 1st letter
1780445010,coronary heart disease monitoring 2nd letter
1780446011,coronary heart disease monitoring 3rd letter
1780447019,coronary heart disease monitoring verbal invitation
1780448012,coronary heart disease monitoring deleted
1780491019,acute st segment elevation myocardial infarction
1780501013,acute non-st segment elevation myocardial infarction
1780517019,coronary heart disease monitoring default
1780518012,coronary heart disease monitoring check done
1785743019,rotary blade coronary angioplasty
1786197015,coronary thrombosis
1786198013,thrombosis - coronary
1786771000006117,referral for cardiac event recording
1823891000006113,coronary heart disease confirmed
1850881000006117,reason for influenza vaccine - chronic heart disease
1856391000006112,coronary heart disease monitoring in primary care
1856401000006114,coronary heart disease monitoring in secondary care
1895641000006114,on coronary heart disease register
208365015,postoperative myocardial infarction
2112641000000118,cardiac rehabilitation programme completed
2117311000000111,angina self-management plan review
2117731000000119,angina self-management plan agreed
212061000006119,postoperative transmural myocardial infarction anterior wall
212071000006114,postoperative transmural myocardial infarction inferior wall
212081000006112,postoperative transmural myocardial infarction other sites
212091000006110,postoperative transmural myocardial infarction unspec site
2127621000000115,referral for cardiac event recording
2160096015,coronary artery bypass graft occlusion
216351000006118,post infarction pericarditis
2173281000000112,h/o acute coronary syndrome
2193891000000115,referral to cardiology multidisciplinary team
219521000000119,attack - heart
219531000000117,mi - acute myocardial infarction
2210191000000118,referral to angina plan self-management programme
2210251000000115,referral to angina plan self-management programme declined
2214241000000113,electrocardiogram rhythm strip monitoring
223951000000112,heart diseases
230021000006115,personal history of myocardial infarction
238561000006119,percut translum balloon angioplasty bypass graft coronary a
238571000006114,percut translum balloon angioplasty mult coronary arteries
238581000006112,percut translum coronary thrombolytic therapy- streptokinase
238641000006117,percut transluminal balloon angioplasty one coronary artery
238651000006115,percut transluminal coronary thrombolysis with streptokinase
238821000006111,percutaneous balloon coronary angioplasty
2485571000000115,not suitable for cardiac rehabilitation programme
2486801000000115,cardiac rehabilitation programme offered
2489071000000111,cardiac rehabilitation initial assessment offered
251679016,h/o: angina pectoris
251691013,h/o: heart disease nos
2534218019,cardiac rehabilitation declined
2534664018,ischaemic heart disease
2534674015,chronic myocardial ischaemia
2535176014,percutaneous coronary intervention
2535177017,emergency percutaneous coronary intervention
2536354015,insertion of coronary artery stent
2536393012,arteriosclerotic heart disease
2536395017,coronary artery disease
2537480011,ihd - ischaemic heart disease
