medcodeid,term
100681000006116,"thrombosis atrium,auric append&vent/curr comp foll acute mi"
109916013,dressler's syndrome
116992017,acute subendocardial infarction
118831000006118,subsequent myocardial infarction of unspecified site
1218860015,acute papillary muscle infarction
1234005010,acute inferoposterior infarction
1234306015,acute septal infarction
1484943013,pain to thrombolysis time
1576271000006117,cause of death- myocardial infarction
1576301000006115,cause of death- acute myocardial infarction
158601000006116,ruptur cardiac wall w'out haemopericard/cur comp fol ac mi
158611000006118,ruptur chordae tendinae/curr comp fol acute myocard infarct
159001000006119,rupture papillary muscle/curr comp fol acute myocard infarct
1780491019,acute st segment elevation myocardial infarction
1780501013,acute non-st segment elevation myocardial infarction
1786197015,coronary thrombosis
1786198013,thrombosis - coronary
208365015,postoperative myocardial infarction
212061000006119,postoperative transmural myocardial infarction anterior wall
212071000006114,postoperative transmural myocardial infarction inferior wall
212081000006112,postoperative transmural myocardial infarction other sites
212091000006110,postoperative transmural myocardial infarction unspec site
216351000006118,post infarction pericarditis
219521000000119,attack - heart
219531000000117,mi - acute myocardial infarction
238581000006112,percut translum coronary thrombolytic therapy- streptokinase
238651000006115,percut transluminal coronary thrombolysis with streptokinase
256452010,ecg: myocardial infarction
256455012,ecg: antero-septal infarct.
256457016,ecg:posterior/inferior infarct
256458014,ecg: subendocardial infarct
256459018,ecg: lateral infarction
256460011,ecg: myocardial infarct nos
256508017,ecg: q wave abnormal
2619484018,mi - myocardial infarction aborted
299707016,other specified anterior myocardial infarction
299708014,acute anteroapical infarction
299709018,anterior myocardial infarction nos
299710011,posterior myocardial infarction nos
299711010,lateral myocardial infarction nos
299712015,true posterior myocardial infarction
299714019,inferior myocardial infarction nos
299718016,other acute myocardial infarction
299719012,acute atrial infarction
299720018,other acute myocardial infarction nos
299721019,acute myocardial infarction nos
299808017,subsequent myocardial infarction
299811016,subsequent myocardial infarction of anterior wall
299812011,subsequent myocardial infarction of inferior wall
299813018,subsequent myocardial infarction of other sites
300881018,[x]subsequent myocardial infarction of other sites
300882013,[x]subsequent myocardial infarction of unspecified site
350376014,silent myocardial infarction
362461000006119,[x]acute transmural myocardial infarction of unspecif site
37443015,heart attack
408571000006116,[x]other current complicatns following acute myocard infarct
447324018,acute q-wave infarct
450322013,acute non-q wave infarction
455422014,postoperative subendocardial myocardial infarction
455423016,"postoperative myocardial infarction, unspecified"
455641000006112,acute anterolateral infarction
455651000006114,acute anteroseptal infarction
457531000006110,acute inferolateral infarction
459708017,door to needle time
460681000006116,acute transmural myocardial infarction of unspecif site
498031000006112,atrial septal defect/curr comp folow acut myocardal infarct
537751000006115,cardiac rupture following myocardial infarction (mi)
543291000006110,certain current complication follow acute myocardial infarct
616081000006113,diab mellit insulin-glucose infus acute myocardial infarct
635061000006116,ecg: q wave pathological
67081000006119,ventric septal defect/curr comp fol acut myocardal infarctn
682481000006118,myocardial infarction aborted
732801000000119,cardiac troponin positive
813961000006116,haemopericardium/current comp folow acut myocard infarct
884141000006116,coronary thrombosis
884151000006119,myocardial infarction
905351000006113,[rfc] myocardial infarction (mi)
932081000006118,first myocardial infarction
94884017,acute myocardial infarction
967931000006114,acute posterolateral myocardial infarction
