medcodeid,term
105536013,intermittent claudication
1176621000000116,referred for peripheral artery disease assessment
1222508013,[d]peripheral circulatory failure
1548451000006111,percutaneous transluminal placement peripheral stent artery
1696201000006114,peripheral vascular disease annual review
1696211000006112,peripheral vascular disease monitoring administration
1696221000006116,peripheral vascular disease monitoring first letter
1696231000006118,peripheral vascular disease monitoring second letter
1696241000006111,peripheral vascular disease monitoring third letter
1699111000006110,ischaemic foot
1715241000006112,vascular claudication
1823971000006118,peripheral arterial disease confirmed
1839471000006110,h/o: arterial leg ulcer
1847121000006114,peripheral arterial disease
216185010,peripheral vascular disease monitoring
2231891000000112,peripheral vascular disease monitoring second letter
2231911000000110,peripheral vascular disease monitoring third letter
235911000006116,peripheral vascular disease nos
2377871000000112,ischaemic foot pain at rest
2377911000000114,ischaemic foot pain when walking
300433019,extremity artery atheroma
300434013,extremity artery atheroma nos
300510018,other specified peripheral vascular disease
300511019,peripheral angiopathic disease ec nos
300514010,other specified peripheral vascular disease nos
300515011,peripheral vascular disease nos
300534011,embolism and thrombosis of an arm or leg artery
300538014,embolism and thrombosis of an arm artery nos
300547018,embolism and thrombosis of a leg artery nos
300550015,peripheral arterial embolism and thrombosis nos
300607015,arterial insufficiency
300963017,[x]other specified peripheral vascular diseases
300970017,[x]peripheral angiopathy in diseases classified elsewhere
317351012,[d]failure of peripheral circulation
350533013,peripheral ischaemia
350535018,peripheral ischaemic vascular disease
357893018,mixed venous and arterial leg ulcer
357894012,arterial leg ulcer
357895013,ischaemic leg ulcer
375462013,claudication distance
395791015,other peripheral vascular disease
411512011,claudication
443199013,ischaemic foot
445146016,neurogenic claudication
450665015,ischaemic toe
451376017,h/o: peripheral vascular disease procedure
741071000000112,peripheral vascular disease monitoring invitation
741131000000114,peripheral vascular disease monitoring first letter
742481000006118,ischaemia of legs
884571000006119,atherosclerosis of extremities
906771000006113,[rfc] peripheral vascular disease
