weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,364403,0,ethnicity,0,0,23571
01jan2017,53148,0,ethnicity,1,0,3267
01jan2017,309214,0,gender,1,0,19027
01jan2017,699396,0,overall,1,0,44305
01jan2017,25575,0,region,1,0,1871
01jan2017,26619,0,ethnicity,2,0,1747
01jan2017,390182,0,gender,2,0,25278
01jan2017,123120,0,region,2,0,8200
01jan2017,6695,0,ethnicity,3,0,522
01jan2017,25341,0,region,3,0,1875
01jan2017,5843,0,ethnicity,4,0,393
01jan2017,16751,0,region,4,0,1270
01jan2017,242688,0,ethnicity,5,0,14805
01jan2017,124167,0,region,5,0,7383
01jan2017,29713,0,region,6,0,1749
01jan2017,83235,0,region,7,0,5299
01jan2017,78777,0,region,8,0,5048
01jan2017,133720,0,region,9,0,7946
01jan2017,54599,0,region,10,0,3473
01jan2017,2831,0,region,11,0,98
01jan2017,1567,0,region,12,0,93
01jan2017,6009,0,age,20,0,455
01jan2017,11036,0,age,30,0,1144
01jan2017,28004,0,age,40,0,2060
01jan2017,76508,0,age,50,0,5019
01jan2017,143037,0,age,60,0,9181
01jan2017,172312,0,age,70,0,10742
01jan2017,160657,0,age,80,0,9730
01jan2017,88587,0,age,90,0,5272
01jan2017,13246,0,age,100,0,702
08jan2017,364440,1,ethnicity,0,0,31044
08jan2017,53164,1,ethnicity,1,0,4123
08jan2017,309265,1,gender,1,0,25421
08jan2017,699548,1,overall,1,0,58675
08jan2017,25565,1,region,1,0,2131
08jan2017,26644,1,ethnicity,2,0,2349
08jan2017,390283,1,gender,2,0,33254
08jan2017,123082,1,region,2,0,11660
08jan2017,6704,1,ethnicity,3,0,590
08jan2017,25345,1,region,3,0,2015
08jan2017,5846,1,ethnicity,4,0,523
08jan2017,16744,1,region,4,0,1668
08jan2017,242750,1,ethnicity,5,0,20046
08jan2017,124211,1,region,5,0,9415
08jan2017,29710,1,region,6,0,2452
08jan2017,83273,1,region,7,0,7220
08jan2017,78793,1,region,8,0,6243
08jan2017,133799,1,region,9,0,11525
08jan2017,54624,1,region,10,0,4044
08jan2017,2835,1,region,11,0,151
08jan2017,1567,1,region,12,0,151
08jan2017,6015,1,age,20,0,586
08jan2017,11075,1,age,30,0,1469
08jan2017,28054,1,age,40,0,2622
08jan2017,76575,1,age,50,0,6529
08jan2017,143126,1,age,60,0,12155
08jan2017,172376,1,age,70,0,14160
08jan2017,160614,1,age,80,0,13049
08jan2017,88523,1,age,90,0,7110
08jan2017,13190,1,age,100,0,995
15jan2017,364283,2,ethnicity,0,0,30797
15jan2017,53159,2,ethnicity,1,0,4290
15jan2017,309184,2,gender,1,0,25343
15jan2017,699319,2,overall,1,0,57674
15jan2017,25546,2,region,1,0,2267
15jan2017,26640,2,ethnicity,2,0,2380
15jan2017,390135,2,gender,2,0,32331
15jan2017,122991,2,region,2,0,11603
15jan2017,6700,2,ethnicity,3,0,598
15jan2017,25342,2,region,3,0,2221
15jan2017,5855,2,ethnicity,4,0,511
15jan2017,16734,2,region,4,0,1608
15jan2017,242682,2,ethnicity,5,0,19098
15jan2017,124104,2,region,5,0,9112
15jan2017,29708,2,region,6,0,2660
15jan2017,83302,2,region,7,0,6732
15jan2017,78768,2,region,8,0,6200
15jan2017,133855,2,region,9,0,10821
15jan2017,54568,2,region,10,0,4190
15jan2017,2835,2,region,11,0,147
15jan2017,1566,2,region,12,0,113
15jan2017,6021,2,age,20,0,525
15jan2017,11082,2,age,30,0,1383
15jan2017,28089,2,age,40,0,2661
15jan2017,76636,2,age,50,0,6404
15jan2017,143154,2,age,60,0,11723
15jan2017,172389,2,age,70,0,13878
15jan2017,160517,2,age,80,0,12801
15jan2017,88347,2,age,90,0,7248
15jan2017,13084,2,age,100,0,1051
22jan2017,364017,3,ethnicity,0,0,30986
22jan2017,53188,3,ethnicity,1,0,4317
22jan2017,309036,3,gender,1,0,25107
22jan2017,699003,3,overall,1,0,57552
22jan2017,25529,3,region,1,0,2232
22jan2017,26655,3,ethnicity,2,0,2751
22jan2017,389967,3,gender,2,0,32445
22jan2017,122934,3,region,2,0,10642
22jan2017,6709,3,ethnicity,3,0,623
22jan2017,25334,3,region,3,0,2331
22jan2017,5854,3,ethnicity,4,0,529
22jan2017,16726,3,region,4,0,1755
22jan2017,242580,3,ethnicity,5,0,18346
22jan2017,124037,3,region,5,0,9113
22jan2017,29689,3,region,6,0,2770
22jan2017,83153,3,region,7,0,7115
22jan2017,78694,3,region,8,0,5976
22jan2017,133951,3,region,9,0,11106
22jan2017,54556,3,region,10,0,4186
22jan2017,2836,3,region,11,0,178
22jan2017,1564,3,region,12,0,148
22jan2017,6023,3,age,20,0,525
22jan2017,11087,3,age,30,0,1467
22jan2017,28102,3,age,40,0,2652
22jan2017,76692,3,age,50,0,6441
22jan2017,143201,3,age,60,0,12138
22jan2017,172388,3,age,70,0,13918
22jan2017,160403,3,age,80,0,12517
22jan2017,88121,3,age,90,0,6911
22jan2017,12986,3,age,100,0,983
29jan2017,363899,4,ethnicity,0,0,30214
29jan2017,53202,4,ethnicity,1,0,4133
29jan2017,308947,4,gender,1,0,24871
29jan2017,698847,4,overall,1,0,56763
29jan2017,25521,4,region,1,0,2130
29jan2017,26668,4,ethnicity,2,0,2361
29jan2017,389900,4,gender,2,0,31892
29jan2017,122883,4,region,2,0,11253
29jan2017,6716,4,ethnicity,3,0,575
29jan2017,25341,4,region,3,0,2081
29jan2017,5855,4,ethnicity,4,0,455
29jan2017,16720,4,region,4,0,1373
29jan2017,242507,4,ethnicity,5,0,19025
29jan2017,123985,4,region,5,0,8912
29jan2017,29677,4,region,6,0,2667
29jan2017,83111,4,region,7,0,7414
29jan2017,78655,4,region,8,0,6210
29jan2017,134015,4,region,9,0,10324
29jan2017,54537,4,region,10,0,4178
29jan2017,2836,4,region,11,0,118
29jan2017,1566,4,region,12,0,103
29jan2017,6024,4,age,20,0,555
29jan2017,11092,4,age,30,0,1460
29jan2017,28129,4,age,40,0,2664
29jan2017,76736,4,age,50,0,6432
29jan2017,143265,4,age,60,0,11678
29jan2017,172417,4,age,70,0,13759
29jan2017,160362,4,age,80,0,12375
29jan2017,87907,4,age,90,0,6873
29jan2017,12915,4,age,100,0,967
05feb2017,363784,5,ethnicity,0,0,31446
05feb2017,53222,5,ethnicity,1,0,4316
05feb2017,308888,5,gender,1,0,26023
05feb2017,698698,5,overall,1,0,59105
05feb2017,25506,5,region,1,0,2068
05feb2017,26677,5,ethnicity,2,0,2586
05feb2017,389810,5,gender,2,0,33082
05feb2017,122811,5,region,2,0,11570
05feb2017,6731,5,ethnicity,3,0,675
05feb2017,25348,5,region,3,0,2264
05feb2017,5863,5,ethnicity,4,0,536
05feb2017,16709,5,region,4,0,1449
05feb2017,242421,5,ethnicity,5,0,19546
05feb2017,123902,5,region,5,0,9668
05feb2017,29656,5,region,6,0,2436
05feb2017,83122,5,region,7,0,7473
05feb2017,78643,5,region,8,0,6479
05feb2017,134092,5,region,9,0,11147
05feb2017,54511,5,region,10,0,4313
05feb2017,2834,5,region,11,0,145
05feb2017,1564,5,region,12,0,93
05feb2017,6031,5,age,20,0,589
05feb2017,11113,5,age,30,0,1478
05feb2017,28136,5,age,40,0,2801
05feb2017,76784,5,age,50,0,6612
05feb2017,143321,5,age,60,0,12275
05feb2017,172474,5,age,70,0,14102
05feb2017,160297,5,age,80,0,12848
05feb2017,87705,5,age,90,0,7371
05feb2017,12837,5,age,100,0,1029
12feb2017,363652,6,ethnicity,0,0,29776
12feb2017,53233,6,ethnicity,1,0,3627
12feb2017,308776,6,gender,1,0,23664
12feb2017,698500,6,overall,1,0,54181
12feb2017,25491,6,region,1,0,2383
12feb2017,26675,6,ethnicity,2,0,2151
12feb2017,389724,6,gender,2,0,30517
12feb2017,122760,6,region,2,0,10257
12feb2017,6743,6,ethnicity,3,0,550
12feb2017,25352,6,region,3,0,2116
12feb2017,5857,6,ethnicity,4,0,435
12feb2017,16699,6,region,4,0,1523
12feb2017,242340,6,ethnicity,5,0,17642
12feb2017,123863,6,region,5,0,9337
12feb2017,29639,6,region,6,0,2638
12feb2017,83065,6,region,7,0,6362
12feb2017,78622,6,region,8,0,5998
12feb2017,134098,6,region,9,0,9189
12feb2017,54514,6,region,10,0,4173
12feb2017,2834,6,region,11,0,98
12feb2017,1563,6,region,12,0,107
12feb2017,6035,6,age,20,0,560
12feb2017,11126,6,age,30,0,1407
12feb2017,28165,6,age,40,0,2573
12feb2017,76826,6,age,50,0,6082
12feb2017,143381,6,age,60,0,11397
12feb2017,172473,6,age,70,0,13130
12feb2017,160217,6,age,80,0,11528
12feb2017,87529,6,age,90,0,6592
12feb2017,12748,6,age,100,0,912
19feb2017,363481,7,ethnicity,0,0,29223
19feb2017,53224,7,ethnicity,1,0,4435
19feb2017,308705,7,gender,1,0,24490
19feb2017,698206,7,overall,1,0,55434
19feb2017,25480,7,region,1,0,1874
19feb2017,26672,7,ethnicity,2,0,2924
19feb2017,389501,7,gender,2,0,30944
19feb2017,122686,7,region,2,0,9780
19feb2017,6743,7,ethnicity,3,0,632
19feb2017,25349,7,region,3,0,1782
19feb2017,5860,7,ethnicity,4,0,541
19feb2017,16690,7,region,4,0,1279
19feb2017,242226,7,ethnicity,5,0,17679
19feb2017,123766,7,region,5,0,8723
19feb2017,29623,7,region,6,0,2776
19feb2017,83033,7,region,7,0,7555
19feb2017,78574,7,region,8,0,5777
19feb2017,134090,7,region,9,0,11443
19feb2017,54522,7,region,10,0,4195
19feb2017,2833,7,region,11,0,153
19feb2017,1560,7,region,12,0,97
19feb2017,6041,7,age,20,0,522
19feb2017,11140,7,age,30,0,1453
19feb2017,28178,7,age,40,0,2746
19feb2017,76848,7,age,50,0,6456
19feb2017,143412,7,age,60,0,11890
19feb2017,172472,7,age,70,0,13265
19feb2017,160112,7,age,80,0,11657
19feb2017,87332,7,age,90,0,6519
19feb2017,12671,7,age,100,0,926
26feb2017,363429,8,ethnicity,0,0,30838
26feb2017,53228,8,ethnicity,1,0,4323
26feb2017,308629,8,gender,1,0,25623
26feb2017,698080,8,overall,1,0,58116
26feb2017,25467,8,region,1,0,2222
26feb2017,26673,8,ethnicity,2,0,2666
26feb2017,389451,8,gender,2,0,32493
26feb2017,122633,8,region,2,0,10960
26feb2017,6743,8,ethnicity,3,0,649
26feb2017,25347,8,region,3,0,2105
26feb2017,5849,8,ethnicity,4,0,538
26feb2017,16696,8,region,4,0,1486
26feb2017,242158,8,ethnicity,5,0,19102
26feb2017,123729,8,region,5,0,9431
26feb2017,29620,8,region,6,0,2628
26feb2017,82994,8,region,7,0,7484
26feb2017,78554,8,region,8,0,6187
26feb2017,134116,8,region,9,0,10749
26feb2017,54535,8,region,10,0,4657
26feb2017,2831,8,region,11,0,101
26feb2017,1558,8,region,12,0,106
26feb2017,6046,8,age,20,0,560
26feb2017,11156,8,age,30,0,1563
26feb2017,28200,8,age,40,0,2814
26feb2017,76868,8,age,50,0,6775
26feb2017,143470,8,age,60,0,12355
26feb2017,172486,8,age,70,0,13877
26feb2017,160070,8,age,80,0,12360
26feb2017,87181,8,age,90,0,6865
26feb2017,12603,8,age,100,0,947
05mar2017,363354,9,ethnicity,0,0,31392
05mar2017,53237,9,ethnicity,1,0,4467
05mar2017,308556,9,gender,1,0,26008
05mar2017,697916,9,overall,1,0,58872
05mar2017,25463,9,region,1,0,2258
05mar2017,26683,9,ethnicity,2,0,2492
05mar2017,389360,9,gender,2,0,32864
05mar2017,122590,9,region,2,0,11662
05mar2017,6744,9,ethnicity,3,0,637
05mar2017,25347,9,region,3,0,2066
05mar2017,5852,9,ethnicity,4,0,567
05mar2017,16691,9,region,4,0,1483
05mar2017,242046,9,ethnicity,5,0,19317
05mar2017,123705,9,region,5,0,9381
05mar2017,29607,9,region,6,0,2648
05mar2017,82962,9,region,7,0,7618
05mar2017,78515,9,region,8,0,6154
05mar2017,134115,9,region,9,0,10830
05mar2017,54531,9,region,10,0,4519
05mar2017,2831,9,region,11,0,136
05mar2017,1559,9,region,12,0,117
05mar2017,6048,9,age,20,0,549
05mar2017,11159,9,age,30,0,1582
05mar2017,28223,9,age,40,0,2946
