weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,4513594,0,ethnicity,0,0,57
01jan2017,383479,0,ethnicity,1,0,5
01jan2017,4489298,0,gender,1,0,27
01jan2017,8974499,0,overall,1,0,95
01jan2017,315629,0,region,1,0,9
01jan2017,232746,0,ethnicity,2,0,5
01jan2017,4485201,0,gender,2,0,68
01jan2017,1539272,0,region,2,0,18
01jan2017,136663,0,ethnicity,3,0,0
01jan2017,341192,0,region,3,0,7
01jan2017,80430,0,ethnicity,4,0,5
01jan2017,238915,0,region,4,0,5
01jan2017,3627587,0,ethnicity,5,0,32
01jan2017,1427095,0,region,5,0,15
01jan2017,419707,0,region,6,0,5
01jan2017,1083665,0,region,7,0,15
01jan2017,1126410,0,region,8,0,6
01jan2017,1672917,0,region,9,0,12
01jan2017,752133,0,region,10,0,6
01jan2017,41268,0,region,11,0,5
01jan2017,16296,0,region,12,0,5
01jan2017,343983,0,age,20,0,5
01jan2017,1455550,0,age,30,0,10
01jan2017,1559933,0,age,40,0,24
01jan2017,1577507,0,age,50,0,22
01jan2017,1520720,0,age,60,0,22
01jan2017,1165390,0,age,70,0,6
01jan2017,833570,0,age,80,0,5
01jan2017,426769,0,age,90,0,5
01jan2017,91077,0,age,100,0,5
08jan2017,4518084,1,ethnicity,0,0,51
08jan2017,383950,1,ethnicity,1,0,5
08jan2017,4493506,1,gender,1,0,34
08jan2017,8982758,1,overall,1,0,84
08jan2017,315600,1,region,1,0,0
08jan2017,233084,1,ethnicity,2,0,5
08jan2017,4489252,1,gender,2,0,50
08jan2017,1539929,1,region,2,0,19
08jan2017,137065,1,ethnicity,3,0,0
08jan2017,341405,1,region,3,0,5
08jan2017,80563,1,ethnicity,4,0,5
08jan2017,238899,1,region,4,0,5
08jan2017,3630012,1,ethnicity,5,0,27
08jan2017,1428118,1,region,5,0,15
08jan2017,419864,1,region,6,0,5
08jan2017,1085075,1,region,7,0,17
08jan2017,1127557,1,region,8,0,9
08jan2017,1675912,1,region,9,0,10
08jan2017,752818,1,region,10,0,5
08jan2017,41286,1,region,11,0,5
08jan2017,16295,1,region,12,0,0
08jan2017,344315,1,age,20,0,5
08jan2017,1458734,1,age,30,0,5
08jan2017,1562683,1,age,40,0,18
08jan2017,1578893,1,age,50,0,25
08jan2017,1521549,1,age,60,0,19
08jan2017,1165850,1,age,70,0,12
08jan2017,833484,1,age,80,0,5
08jan2017,426447,1,age,90,0,0
08jan2017,90803,1,age,100,0,0
15jan2017,4519072,2,ethnicity,0,0,37
15jan2017,384207,2,ethnicity,1,0,5
15jan2017,4494198,2,gender,1,0,17
15jan2017,8984373,2,overall,1,0,65
15jan2017,315453,2,region,1,0,5
15jan2017,233153,2,ethnicity,2,0,0
15jan2017,4490175,2,gender,2,0,48
15jan2017,1539722,2,region,2,0,12
15jan2017,137203,2,ethnicity,3,0,0
15jan2017,341431,2,region,3,0,5
15jan2017,80625,2,ethnicity,4,0,0
15jan2017,238806,2,region,4,0,0
15jan2017,3630113,2,ethnicity,5,0,26
15jan2017,1427508,2,region,5,0,16
15jan2017,419877,2,region,6,0,5
15jan2017,1086506,2,region,7,0,9
15jan2017,1127809,2,region,8,0,6
15jan2017,1676971,2,region,9,0,8
15jan2017,752736,2,region,10,0,5
15jan2017,41276,2,region,11,0,5
15jan2017,16278,2,region,12,0,0
15jan2017,344541,2,age,20,0,0
15jan2017,1460073,2,age,30,0,5
15jan2017,1563679,2,age,40,0,8
15jan2017,1579410,2,age,50,0,17
15jan2017,1521819,2,age,60,0,22
15jan2017,1165840,2,age,70,0,9
15jan2017,833156,2,age,80,0,5
15jan2017,425611,2,age,90,0,5
15jan2017,90244,2,age,100,0,0
22jan2017,4518517,3,ethnicity,0,0,58
22jan2017,384484,3,ethnicity,1,0,5
22jan2017,4494029,3,gender,1,0,29
22jan2017,8984009,3,overall,1,0,80
22jan2017,315408,3,region,1,0,8
22jan2017,233237,3,ethnicity,2,0,5
22jan2017,4489980,3,gender,2,0,51
22jan2017,1539854,3,region,2,0,21
22jan2017,137324,3,ethnicity,3,0,0
22jan2017,341474,3,region,3,0,5
22jan2017,80684,3,ethnicity,4,0,0
22jan2017,238656,3,region,4,0,5
22jan2017,3629763,3,ethnicity,5,0,19
22jan2017,1427412,3,region,5,0,11
22jan2017,419857,3,region,6,0,5
22jan2017,1084841,3,region,7,0,15
22jan2017,1127089,3,region,8,0,5
22jan2017,1679110,3,region,9,0,10
22jan2017,752766,3,region,10,0,5
22jan2017,41266,3,region,11,0,5
22jan2017,16276,3,region,12,0,0
22jan2017,344705,3,age,20,0,5
22jan2017,1460758,3,age,30,0,15
