weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,4814510,0,ethnicity,0,0,9763
01jan2017,425917,0,ethnicity,1,0,345
01jan2017,4921693,0,gender,1,0,10459
01jan2017,9863903,0,overall,1,0,16340
01jan2017,343510,0,region,1,0,651
01jan2017,261552,0,ethnicity,2,0,206
01jan2017,4942210,0,gender,2,0,5881
01jan2017,1690063,0,region,2,0,3616
01jan2017,147583,0,ethnicity,3,0,120
01jan2017,371809,0,region,3,0,685
01jan2017,94174,0,ethnicity,4,0,176
01jan2017,259468,0,region,4,0,528
01jan2017,4120167,0,ethnicity,5,0,5730
01jan2017,1571832,0,region,5,0,2539
01jan2017,464376,0,region,6,0,649
01jan2017,1185045,0,region,7,0,2403
01jan2017,1242192,0,region,8,0,1736
01jan2017,1842724,0,region,9,0,2258
01jan2017,827239,0,region,10,0,1188
01jan2017,47713,0,region,11,0,48
01jan2017,17932,0,region,12,0,39
01jan2017,1233387,0,age,20,0,1454
01jan2017,1455550,0,age,30,0,4406
01jan2017,1559933,0,age,40,0,3439
01jan2017,1577507,0,age,50,0,2762
01jan2017,1520720,0,age,60,0,2124
01jan2017,1165390,0,age,70,0,1016
01jan2017,833570,0,age,80,0,706
01jan2017,426769,0,age,90,0,355
01jan2017,91077,0,age,100,0,78
08jan2017,4819250,1,ethnicity,0,0,12424
08jan2017,426422,1,ethnicity,1,0,461
08jan2017,4926224,1,gender,1,0,13365
08jan2017,9872785,1,overall,1,0,20769
08jan2017,343497,1,region,1,0,842
08jan2017,261928,1,ethnicity,2,0,237
08jan2017,4946561,1,gender,2,0,7404
08jan2017,1690788,1,region,2,0,4800
08jan2017,148011,1,ethnicity,3,0,180
08jan2017,372038,1,region,3,0,853
08jan2017,94319,1,ethnicity,4,0,214
08jan2017,259469,1,region,4,0,723
08jan2017,4122855,1,ethnicity,5,0,7253
08jan2017,1572931,1,region,5,0,3370
08jan2017,464560,1,region,6,0,831
08jan2017,1186534,1,region,7,0,3084
08jan2017,1243418,1,region,8,0,2096
08jan2017,1845907,1,region,9,0,2705
08jan2017,827980,1,region,10,0,1368
08jan2017,47733,1,region,11,0,45
08jan2017,17930,1,region,12,0,52
08jan2017,1234342,1,age,20,0,1778
08jan2017,1458734,1,age,30,0,5821
08jan2017,1562683,1,age,40,0,4373
08jan2017,1578893,1,age,50,0,3452
08jan2017,1521549,1,age,60,0,2545
08jan2017,1165850,1,age,70,0,1390
08jan2017,833484,1,age,80,0,847
08jan2017,426447,1,age,90,0,471
08jan2017,90803,1,age,100,0,92
15jan2017,4820468,2,ethnicity,0,0,12167
15jan2017,426724,2,ethnicity,1,0,504
15jan2017,4927132,2,gender,1,0,13101
15jan2017,9874887,2,overall,1,0,20114
15jan2017,343365,2,region,1,0,841
15jan2017,262014,2,ethnicity,2,0,242
15jan2017,4947755,2,gender,2,0,7013
15jan2017,1690629,2,region,2,0,4643
15jan2017,148153,2,ethnicity,3,0,170
15jan2017,372093,2,region,3,0,927
15jan2017,94392,2,ethnicity,4,0,200
15jan2017,259389,2,region,4,0,712
15jan2017,4123136,2,ethnicity,5,0,6831
15jan2017,1572363,2,region,5,0,3087
15jan2017,464596,2,region,6,0,759
15jan2017,1188052,2,region,7,0,2937
15jan2017,1243739,2,region,8,0,2141
15jan2017,1847097,2,region,9,0,2595
15jan2017,827932,2,region,10,0,1364
15jan2017,47720,2,region,11,0,58
15jan2017,17912,2,region,12,0,50
15jan2017,1235055,2,age,20,0,1986
15jan2017,1460073,2,age,30,0,5662
15jan2017,1563679,2,age,40,0,4090
15jan2017,1579410,2,age,50,0,3308
15jan2017,1521819,2,age,60,0,2397
15jan2017,1165840,2,age,70,0,1288
15jan2017,833156,2,age,80,0,830
15jan2017,425611,2,age,90,0,481
15jan2017,90244,2,age,100,0,72
22jan2017,4819973,3,ethnicity,0,0,11668
22jan2017,427024,3,ethnicity,1,0,419
22jan2017,4927041,3,gender,1,0,12464
22jan2017,9874708,3,overall,1,0,19272
22jan2017,343325,3,region,1,0,794
22jan2017,262122,3,ethnicity,2,0,261
22jan2017,4947667,3,gender,2,0,6808
22jan2017,1690778,3,region,2,0,4312
22jan2017,148289,3,ethnicity,3,0,161
22jan2017,372142,3,region,3,0,858
22jan2017,94465,3,ethnicity,4,0,212
22jan2017,259250,3,region,4,0,738
22jan2017,4122835,3,ethnicity,5,0,6551
22jan2017,1572302,3,region,5,0,3053
22jan2017,464595,3,region,6,0,696
22jan2017,1186348,3,region,7,0,2927
22jan2017,1242998,3,region,8,0,1991
22jan2017,1849372,3,region,9,0,2498
22jan2017,827979,3,region,10,0,1315
22jan2017,47709,3,region,11,0,51
22jan2017,17910,3,region,12,0,39
22jan2017,1235404,3,age,20,0,1883
22jan2017,1460758,3,age,30,0,5345
22jan2017,1564322,3,age,40,0,4067
22jan2017,1579782,3,age,50,0,3122
22jan2017,1521931,3,age,60,0,2423
22jan2017,1165577,3,age,70,0,1209
22jan2017,832655,3,age,80,0,762
22jan2017,424696,3,age,90,0,394
22jan2017,89583,3,age,100,0,67
29jan2017,4821519,4,ethnicity,0,0,12350
29jan2017,427331,4,ethnicity,1,0,466
29jan2017,4928319,4,gender,1,0,13295
29jan2017,9877729,4,overall,1,0,20465
29jan2017,343346,4,region,1,0,869
29jan2017,262263,4,ethnicity,2,0,199
29jan2017,4949410,4,gender,2,0,7170
29jan2017,1691038,4,region,2,0,4575
29jan2017,148390,4,ethnicity,3,0,184
29jan2017,372202,4,region,3,0,944
29jan2017,94589,4,ethnicity,4,0,189
29jan2017,259187,4,region,4,0,756
29jan2017,4123637,4,ethnicity,5,0,7077
29jan2017,1572464,4,region,5,0,3208
29jan2017,464660,4,region,6,0,804
29jan2017,1186517,4,region,7,0,2942
29jan2017,1242913,4,region,8,0,2184
29jan2017,1851670,4,region,9,0,2702
29jan2017,828120,4,region,10,0,1376
29jan2017,47709,4,region,11,0,66
29jan2017,17903,4,region,12,0,39
29jan2017,1235961,4,age,20,0,2061
29jan2017,1462146,4,age,30,0,5648
29jan2017,1565699,4,age,40,0,4128
29jan2017,1580552,4,age,50,0,3328
29jan2017,1522295,4,age,60,0,2549
29jan2017,1165691,4,age,70,0,1353
29jan2017,832405,4,age,80,0,842
29jan2017,423872,4,age,90,0,463
29jan2017,89108,4,age,100,0,93
05feb2017,4823500,5,ethnicity,0,0,11981
05feb2017,427576,5,ethnicity,1,0,467
05feb2017,4929358,5,gender,1,0,12947
05feb2017,9879806,5,overall,1,0,19940
05feb2017,343288,5,region,1,0,734
05feb2017,262431,5,ethnicity,2,0,272
05feb2017,4950448,5,gender,2,0,6993
05feb2017,1691303,5,region,2,0,4581
05feb2017,148429,5,ethnicity,3,0,167
05feb2017,372356,5,region,3,0,884
05feb2017,94681,5,ethnicity,4,0,202
05feb2017,259010,5,region,4,0,775
05feb2017,4123189,5,ethnicity,5,0,6851
05feb2017,1571563,5,region,5,0,3191
05feb2017,464702,5,region,6,0,778
05feb2017,1186977,5,region,7,0,2856
05feb2017,1243228,5,region,8,0,2100
05feb2017,1853570,5,region,9,0,2591
05feb2017,828200,5,region,10,0,1353
05feb2017,47701,5,region,11,0,46
05feb2017,17908,5,region,12,0,51
05feb2017,1236442,5,age,20,0,1913
05feb2017,1463499,5,age,30,0,5597
05feb2017,1566937,5,age,40,0,4105
05feb2017,1581070,5,age,50,0,3384
05feb2017,1522527,5,age,60,0,2358
05feb2017,1165677,5,age,70,0,1248
05feb2017,832037,5,age,80,0,834
05feb2017,422998,5,age,90,0,423
05feb2017,88619,5,age,100,0,78
12feb2017,4824669,6,ethnicity,0,0,11102
12feb2017,427640,6,ethnicity,1,0,423
