weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,4814510,0,ethnicity,0,0,16204
01jan2017,425917,0,ethnicity,1,0,610
01jan2017,4921693,0,gender,1,0,16882
01jan2017,9863903,0,overall,1,0,27064
01jan2017,343510,0,region,1,0,1100
01jan2017,261552,0,ethnicity,2,0,420
01jan2017,4942210,0,gender,2,0,10182
01jan2017,1690063,0,region,2,0,5631
01jan2017,147583,0,ethnicity,3,0,237
01jan2017,371809,0,region,3,0,1202
01jan2017,94174,0,ethnicity,4,0,327
01jan2017,259468,0,region,4,0,837
01jan2017,4120167,0,ethnicity,5,0,9266
01jan2017,1571832,0,region,5,0,4193
01jan2017,464376,0,region,6,0,1002
01jan2017,1185045,0,region,7,0,3852
01jan2017,1242192,0,region,8,0,3116
01jan2017,1842724,0,region,9,0,4011
01jan2017,827239,0,region,10,0,1992
01jan2017,47713,0,region,11,0,45
01jan2017,17932,0,region,12,0,83
01jan2017,1233387,0,age,20,0,1921
01jan2017,1455550,0,age,30,0,6676
01jan2017,1559933,0,age,40,0,5624
01jan2017,1577507,0,age,50,0,4922
01jan2017,1520720,0,age,60,0,4160
01jan2017,1165390,0,age,70,0,1885
01jan2017,833570,0,age,80,0,1111
01jan2017,426769,0,age,90,0,622
01jan2017,91077,0,age,100,0,143
08jan2017,4819250,1,ethnicity,0,0,20200
08jan2017,426422,1,ethnicity,1,0,779
08jan2017,4926224,1,gender,1,0,21283
08jan2017,9872785,1,overall,1,0,33753
08jan2017,343497,1,region,1,0,1421
08jan2017,261928,1,ethnicity,2,0,566
08jan2017,4946561,1,gender,2,0,12470
08jan2017,1690788,1,region,2,0,7268
08jan2017,148011,1,ethnicity,3,0,324
08jan2017,372038,1,region,3,0,1462
08jan2017,94319,1,ethnicity,4,0,398
08jan2017,259469,1,region,4,0,1094
08jan2017,4122855,1,ethnicity,5,0,11486
08jan2017,1572931,1,region,5,0,5363
08jan2017,464560,1,region,6,0,1360
08jan2017,1186534,1,region,7,0,4795
08jan2017,1243418,1,region,8,0,3812
08jan2017,1845907,1,region,9,0,4663
08jan2017,827980,1,region,10,0,2370
08jan2017,47733,1,region,11,0,58
08jan2017,17930,1,region,12,0,87
08jan2017,1234342,1,age,20,0,2303
08jan2017,1458734,1,age,30,0,8543
08jan2017,1562683,1,age,40,0,7047
08jan2017,1578893,1,age,50,0,6218
08jan2017,1521549,1,age,60,0,5071
08jan2017,1165850,1,age,70,0,2406
08jan2017,833484,1,age,80,0,1267
08jan2017,426447,1,age,90,0,740
08jan2017,90803,1,age,100,0,158
15jan2017,4820468,2,ethnicity,0,0,19442
15jan2017,426724,2,ethnicity,1,0,752
15jan2017,4927132,2,gender,1,0,20555
15jan2017,9874887,2,overall,1,0,32298
15jan2017,343365,2,region,1,0,1485
15jan2017,262014,2,ethnicity,2,0,491
15jan2017,4947755,2,gender,2,0,11743
15jan2017,1690629,2,region,2,0,6851
15jan2017,148153,2,ethnicity,3,0,315
15jan2017,372093,2,region,3,0,1411
15jan2017,94392,2,ethnicity,4,0,357
15jan2017,259389,2,region,4,0,1046
15jan2017,4123136,2,ethnicity,5,0,10941
15jan2017,1572363,2,region,5,0,4959
15jan2017,464596,2,region,6,0,1253
15jan2017,1188052,2,region,7,0,4540
15jan2017,1243739,2,region,8,0,3630
15jan2017,1847097,2,region,9,0,4496
15jan2017,827932,2,region,10,0,2460
15jan2017,47720,2,region,11,0,75
15jan2017,17912,2,region,12,0,92
15jan2017,1235055,2,age,20,0,2461
15jan2017,1460073,2,age,30,0,8332
15jan2017,1563679,2,age,40,0,6544
15jan2017,1579410,2,age,50,0,5838
15jan2017,1521819,2,age,60,0,4826
15jan2017,1165840,2,age,70,0,2270
15jan2017,833156,2,age,80,0,1211
15jan2017,425611,2,age,90,0,678
15jan2017,90244,2,age,100,0,138
22jan2017,4819973,3,ethnicity,0,0,19028
22jan2017,427024,3,ethnicity,1,0,736
22jan2017,4927041,3,gender,1,0,20022
22jan2017,9874708,3,overall,1,0,31653
22jan2017,343325,3,region,1,0,1334
22jan2017,262122,3,ethnicity,2,0,500
22jan2017,4947667,3,gender,2,0,11631
22jan2017,1690778,3,region,2,0,6540
22jan2017,148289,3,ethnicity,3,0,286
22jan2017,372142,3,region,3,0,1302
22jan2017,94465,3,ethnicity,4,0,364
22jan2017,259250,3,region,4,0,1108
22jan2017,4122835,3,ethnicity,5,0,10739
22jan2017,1572302,3,region,5,0,4807
22jan2017,464595,3,region,6,0,1590
22jan2017,1186348,3,region,7,0,4676
22jan2017,1242998,3,region,8,0,3497
22jan2017,1849372,3,region,9,0,4223
22jan2017,827979,3,region,10,0,2450
22jan2017,47709,3,region,11,0,58
22jan2017,17910,3,region,12,0,68
22jan2017,1235404,3,age,20,0,2560
22jan2017,1460758,3,age,30,0,8016
22jan2017,1564322,3,age,40,0,6380
22jan2017,1579782,3,age,50,0,5774
22jan2017,1521931,3,age,60,0,4746
22jan2017,1165577,3,age,70,0,2179
22jan2017,832655,3,age,80,0,1173
22jan2017,424696,3,age,90,0,692
22jan2017,89583,3,age,100,0,133
29jan2017,4821519,4,ethnicity,0,0,19747
29jan2017,427331,4,ethnicity,1,0,843
29jan2017,4928319,4,gender,1,0,20878
29jan2017,9877729,4,overall,1,0,32798
29jan2017,343346,4,region,1,0,1350
29jan2017,262263,4,ethnicity,2,0,537
29jan2017,4949410,4,gender,2,0,11920
29jan2017,1691038,4,region,2,0,6944
29jan2017,148390,4,ethnicity,3,0,305
29jan2017,372202,4,region,3,0,1481
29jan2017,94589,4,ethnicity,4,0,332
29jan2017,259187,4,region,4,0,1114
29jan2017,4123637,4,ethnicity,5,0,11034
29jan2017,1572464,4,region,5,0,5174
29jan2017,464660,4,region,6,0,1256
29jan2017,1186517,4,region,7,0,4607
29jan2017,1242913,4,region,8,0,3656
29jan2017,1851670,4,region,9,0,4621
29jan2017,828120,4,region,10,0,2456
29jan2017,47709,4,region,11,0,67
29jan2017,17903,4,region,12,0,72
29jan2017,1235961,4,age,20,0,2549
29jan2017,1462146,4,age,30,0,8383
29jan2017,1565699,4,age,40,0,6524
29jan2017,1580552,4,age,50,0,5983
29jan2017,1522295,4,age,60,0,5003
29jan2017,1165691,4,age,70,0,2293
29jan2017,832405,4,age,80,0,1195
29jan2017,423872,4,age,90,0,712
29jan2017,89108,4,age,100,0,156
05feb2017,4823500,5,ethnicity,0,0,19153
05feb2017,427576,5,ethnicity,1,0,808
05feb2017,4929358,5,gender,1,0,20524
05feb2017,9879806,5,overall,1,0,32272
05feb2017,343288,5,region,1,0,1322
05feb2017,262431,5,ethnicity,2,0,552
05feb2017,4950448,5,gender,2,0,11748
05feb2017,1691303,5,region,2,0,6881
05feb2017,148429,5,ethnicity,3,0,287
05feb2017,372356,5,region,3,0,1404
05feb2017,94681,5,ethnicity,4,0,365
05feb2017,259010,5,region,4,0,1126
05feb2017,4123189,5,ethnicity,5,0,11107
05feb2017,1571563,5,region,5,0,5092
05feb2017,464702,5,region,6,0,1241
05feb2017,1186977,5,region,7,0,4576
05feb2017,1243228,5,region,8,0,3635
05feb2017,1853570,5,region,9,0,4480
05feb2017,828200,5,region,10,0,2371
05feb2017,47701,5,region,11,0,60
05feb2017,17908,5,region,12,0,84
05feb2017,1236442,5,age,20,0,2542
05feb2017,1463499,5,age,30,0,8203
05feb2017,1566937,5,age,40,0,6496
05feb2017,1581070,5,age,50,0,5909
05feb2017,1522527,5,age,60,0,4808
05feb2017,1165677,5,age,70,0,2178
05feb2017,832037,5,age,80,0,1296
05feb2017,422998,5,age,90,0,697
05feb2017,88619,5,age,100,0,143
12feb2017,4824669,6,ethnicity,0,0,17729
12feb2017,427640,6,ethnicity,1,0,721
12feb2017,4929882,6,gender,1,0,18700
12feb2017,9881152,6,overall,1,0,29508
12feb2017,343224,6,region,1,0,1327
12feb2017,262563,6,ethnicity,2,0,454
12feb2017,4951270,6,gender,2,0,10808
12feb2017,1691425,6,region,2,0,6525
12feb2017,148221,6,ethnicity,3,0,277
12feb2017,372371,6,region,3,0,1416
12feb2017,94741,6,ethnicity,4,0,354
12feb2017,258001,6,region,4,0,982
12feb2017,4123318,6,ethnicity,5,0,9973
12feb2017,1571844,6,region,5,0,4788
12feb2017,464634,6,region,6,0,1031
12feb2017,1187277,6,region,7,0,3965
12feb2017,1243165,6,region,8,0,3291
12feb2017,1855044,6,region,9,0,3937
12feb2017,828559,6,region,10,0,2098
12feb2017,47694,6,region,11,0,52
12feb2017,17914,6,region,12,0,96
12feb2017,1236908,6,age,20,0,2261
12feb2017,1463826,6,age,30,0,7661
12feb2017,1568095,6,age,40,0,5886
12feb2017,1581651,6,age,50,0,5415
12feb2017,1522794,6,age,60,0,4424
12feb2017,1165756,6,age,70,0,1995
12feb2017,831706,6,age,80,0,1080
12feb2017,422301,6,age,90,0,633
12feb2017,88115,6,age,100,0,153
19feb2017,4826072,7,ethnicity,0,0,18309
19feb2017,427764,7,ethnicity,1,0,752
19feb2017,4930579,7,gender,1,0,19658
19feb2017,9882787,7,overall,1,0,30645
19feb2017,342952,7,region,1,0,1128
19feb2017,262675,7,ethnicity,2,0,524
19feb2017,4952208,7,gender,2,0,10987
19feb2017,1691469,7,region,2,0,6234
19feb2017,148220,7,ethnicity,3,0,307
19feb2017,372367,7,region,3,0,1348
19feb2017,94767,7,ethnicity,4,0,390
19feb2017,258018,7,region,4,0,1141
19feb2017,4123289,7,ethnicity,5,0,10363
19feb2017,1571738,7,region,5,0,4392
19feb2017,464643,7,region,6,0,1194
19feb2017,1187476,7,region,7,0,4688
19feb2017,1243166,7,region,8,0,3442
19feb2017,1856583,7,region,9,0,4560
19feb2017,828768,7,region,10,0,2381
19feb2017,47701,7,region,11,0,70
19feb2017,17906,7,region,12,0,67
19feb2017,1237337,7,age,20,0,2422
19feb2017,1465044,7,age,30,0,7821
19feb2017,1568996,7,age,40,0,6099
19feb2017,1582043,7,age,50,0,5639
19feb2017,1523107,7,age,60,0,4579
19feb2017,1165722,7,age,70,0,2183
19feb2017,831351,7,age,80,0,1131
19feb2017,421569,7,age,90,0,638
19feb2017,87618,7,age,100,0,133
26feb2017,4827881,8,ethnicity,0,0,19934
26feb2017,427988,8,ethnicity,1,0,863
26feb2017,4931489,8,gender,1,0,21410
26feb2017,9884997,8,overall,1,0,33260
26feb2017,342960,8,region,1,0,1388
26feb2017,262815,8,ethnicity,2,0,525
