weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,364403,0,ethnicity,0,0,59
01jan2017,53148,0,ethnicity,1,0,5
01jan2017,309214,0,gender,1,0,39
01jan2017,699396,0,overall,1,0,82
01jan2017,25575,0,region,1,0,5
01jan2017,26619,0,ethnicity,2,0,5
01jan2017,390182,0,gender,2,0,43
01jan2017,123120,0,region,2,0,20
01jan2017,6695,0,ethnicity,3,0,0
01jan2017,25341,0,region,3,0,5
01jan2017,5843,0,ethnicity,4,0,0
01jan2017,16751,0,region,4,0,5
01jan2017,242688,0,ethnicity,5,0,21
01jan2017,124167,0,region,5,0,16
01jan2017,29713,0,region,6,0,5
01jan2017,83235,0,region,7,0,10
01jan2017,78777,0,region,8,0,7
01jan2017,133720,0,region,9,0,11
01jan2017,54599,0,region,10,0,8
01jan2017,2831,0,region,11,0,0
01jan2017,1567,0,region,12,0,0
01jan2017,6009,0,age,20,0,15
01jan2017,11036,0,age,30,0,19
01jan2017,28004,0,age,40,0,10
01jan2017,76508,0,age,50,0,10
01jan2017,143037,0,age,60,0,10
01jan2017,172312,0,age,70,0,5
01jan2017,160657,0,age,80,0,5
01jan2017,88587,0,age,90,0,8
01jan2017,13246,0,age,100,0,0
08jan2017,364440,1,ethnicity,0,0,41
08jan2017,53164,1,ethnicity,1,0,5
08jan2017,309265,1,gender,1,0,31
08jan2017,699548,1,overall,1,0,65
08jan2017,25565,1,region,1,0,5
08jan2017,26644,1,ethnicity,2,0,5
08jan2017,390283,1,gender,2,0,34
08jan2017,123082,1,region,2,0,17
08jan2017,6704,1,ethnicity,3,0,0
08jan2017,25345,1,region,3,0,5
08jan2017,5846,1,ethnicity,4,0,5
08jan2017,16744,1,region,4,0,5
08jan2017,242750,1,ethnicity,5,0,17
08jan2017,124211,1,region,5,0,6
08jan2017,29710,1,region,6,0,5
08jan2017,83273,1,region,7,0,9
08jan2017,78793,1,region,8,0,8
08jan2017,133799,1,region,9,0,13
08jan2017,54624,1,region,10,0,5
08jan2017,2835,1,region,11,0,5
08jan2017,1567,1,region,12,0,5
08jan2017,6015,1,age,20,0,9
08jan2017,11075,1,age,30,0,16
08jan2017,28054,1,age,40,0,12
08jan2017,76575,1,age,50,0,7
08jan2017,143126,1,age,60,0,6
08jan2017,172376,1,age,70,0,5
08jan2017,160614,1,age,80,0,5
08jan2017,88523,1,age,90,0,5
08jan2017,13190,1,age,100,0,5
15jan2017,364283,2,ethnicity,0,0,32
15jan2017,53159,2,ethnicity,1,0,5
15jan2017,309184,2,gender,1,0,28
15jan2017,699319,2,overall,1,0,55
15jan2017,25546,2,region,1,0,5
15jan2017,26640,2,ethnicity,2,0,5
15jan2017,390135,2,gender,2,0,27
15jan2017,122991,2,region,2,0,9
15jan2017,6700,2,ethnicity,3,0,5
15jan2017,25342,2,region,3,0,5
15jan2017,5855,2,ethnicity,4,0,0
15jan2017,16734,2,region,4,0,5
15jan2017,242682,2,ethnicity,5,0,17
15jan2017,124104,2,region,5,0,5
15jan2017,29708,2,region,6,0,5
15jan2017,83302,2,region,7,0,10
15jan2017,78768,2,region,8,0,8
15jan2017,133855,2,region,9,0,13
15jan2017,54568,2,region,10,0,5
15jan2017,2835,2,region,11,0,0
15jan2017,1566,2,region,12,0,0
15jan2017,6021,2,age,20,0,7
15jan2017,11082,2,age,30,0,10
15jan2017,28089,2,age,40,0,7
15jan2017,76636,2,age,50,0,7
15jan2017,143154,2,age,60,0,5
15jan2017,172389,2,age,70,0,10
15jan2017,160517,2,age,80,0,5
15jan2017,88347,2,age,90,0,9
15jan2017,13084,2,age,100,0,0
22jan2017,364017,3,ethnicity,0,0,34
22jan2017,53188,3,ethnicity,1,0,5
22jan2017,309036,3,gender,1,0,26
22jan2017,699003,3,overall,1,0,66
22jan2017,25529,3,region,1,0,5
