weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,4814510,0,ethnicity,0,0,242
01jan2017,425917,0,ethnicity,1,0,13
01jan2017,4921693,0,gender,1,0,383
01jan2017,9863903,0,overall,1,0,412
01jan2017,343510,0,region,1,0,14
01jan2017,261552,0,ethnicity,2,0,5
01jan2017,4942210,0,gender,2,0,29
01jan2017,1690063,0,region,2,0,61
01jan2017,147583,0,ethnicity,3,0,5
01jan2017,371809,0,region,3,0,27
01jan2017,94174,0,ethnicity,4,0,5
01jan2017,259468,0,region,4,0,19
01jan2017,4120167,0,ethnicity,5,0,148
01jan2017,1571832,0,region,5,0,50
01jan2017,464376,0,region,6,0,23
01jan2017,1185045,0,region,7,0,81
01jan2017,1242192,0,region,8,0,65
01jan2017,1842724,0,region,9,0,48
01jan2017,827239,0,region,10,0,24
01jan2017,47713,0,region,11,0,0
01jan2017,17932,0,region,12,0,0
01jan2017,1233387,0,age,20,0,141
01jan2017,1455550,0,age,30,0,145
01jan2017,1559933,0,age,40,0,62
01jan2017,1577507,0,age,50,0,41
01jan2017,1520720,0,age,60,0,15
01jan2017,1165390,0,age,70,0,5
01jan2017,833570,0,age,80,0,5
01jan2017,426769,0,age,90,0,0
01jan2017,91077,0,age,100,0,0
08jan2017,4819250,1,ethnicity,0,0,303
08jan2017,426422,1,ethnicity,1,0,10
08jan2017,4926224,1,gender,1,0,491
08jan2017,9872785,1,overall,1,0,539
08jan2017,343497,1,region,1,0,14
08jan2017,261928,1,ethnicity,2,0,5
08jan2017,4946561,1,gender,2,0,48
08jan2017,1690788,1,region,2,0,101
08jan2017,148011,1,ethnicity,3,0,6
08jan2017,372038,1,region,3,0,36
08jan2017,94319,1,ethnicity,4,0,7
08jan2017,259469,1,region,4,0,20
08jan2017,4122855,1,ethnicity,5,0,209
08jan2017,1572931,1,region,5,0,63
08jan2017,464560,1,region,6,0,21
08jan2017,1186534,1,region,7,0,96
08jan2017,1243418,1,region,8,0,75
08jan2017,1845907,1,region,9,0,79
08jan2017,827980,1,region,10,0,33
08jan2017,47733,1,region,11,0,5
08jan2017,17930,1,region,12,0,0
08jan2017,1234342,1,age,20,0,182
08jan2017,1458734,1,age,30,0,200
08jan2017,1562683,1,age,40,0,77
08jan2017,1578893,1,age,50,0,47
08jan2017,1521549,1,age,60,0,23
08jan2017,1165850,1,age,70,0,6
08jan2017,833484,1,age,80,0,5
08jan2017,426447,1,age,90,0,0
08jan2017,90803,1,age,100,0,0
15jan2017,4820468,2,ethnicity,0,0,310
15jan2017,426724,2,ethnicity,1,0,11
15jan2017,4927132,2,gender,1,0,495
15jan2017,9874887,2,overall,1,0,532
15jan2017,343365,2,region,1,0,10
15jan2017,262014,2,ethnicity,2,0,6
15jan2017,4947755,2,gender,2,0,37
15jan2017,1690629,2,region,2,0,80
15jan2017,148153,2,ethnicity,3,0,5
15jan2017,372093,2,region,3,0,39
15jan2017,94392,2,ethnicity,4,0,5
15jan2017,259389,2,region,4,0,29
15jan2017,4123136,2,ethnicity,5,0,198
15jan2017,1572363,2,region,5,0,66
15jan2017,464596,2,region,6,0,23
15jan2017,1188052,2,region,7,0,86
