weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,3779955,0,ethnicity,0,0,583
01jan2017,293049,0,ethnicity,1,0,36
01jan2017,3618289,0,gender,1,0,302
01jan2017,7174966,0,overall,1,0,1064
01jan2017,248280,0,region,1,0,35
01jan2017,180227,0,ethnicity,2,0,5
01jan2017,3556677,0,gender,2,0,762
01jan2017,1225731,0,region,2,0,195
01jan2017,86473,0,ethnicity,3,0,8
01jan2017,259709,0,region,3,0,41
01jan2017,56005,0,ethnicity,4,0,12
01jan2017,172559,0,region,4,0,20
01jan2017,2779257,0,ethnicity,5,0,420
01jan2017,1157537,0,region,5,0,159
01jan2017,354740,0,region,6,0,53
01jan2017,878048,0,region,7,0,145
01jan2017,910667,0,region,8,0,119
01jan2017,1309139,0,region,9,0,161
01jan2017,613558,0,region,10,0,126
01jan2017,31721,0,region,11,0,5
01jan2017,13277,0,region,12,0,7
01jan2017,1559933,0,age,40,0,12
01jan2017,1577507,0,age,50,0,101
01jan2017,1520720,0,age,60,0,229
01jan2017,1165390,0,age,70,0,254
01jan2017,833570,0,age,80,0,221
01jan2017,426769,0,age,90,0,190
01jan2017,91077,0,age,100,0,57
08jan2017,3782648,1,ethnicity,0,0,567
08jan2017,293364,1,ethnicity,1,0,42
08jan2017,3620625,1,gender,1,0,290
08jan2017,7179709,1,overall,1,0,1010
08jan2017,248242,1,region,1,0,39
08jan2017,180465,1,ethnicity,2,0,10
08jan2017,3559084,1,gender,2,0,720
08jan2017,1226016,1,region,2,0,233
08jan2017,86634,1,ethnicity,3,0,6
08jan2017,259776,1,region,3,0,42
08jan2017,56081,1,ethnicity,4,0,5
08jan2017,172587,1,region,4,0,30
08jan2017,2780517,1,ethnicity,5,0,382
08jan2017,1158136,1,region,5,0,163
08jan2017,354806,1,region,6,0,46
08jan2017,878914,1,region,7,0,142
08jan2017,911373,1,region,8,0,90
08jan2017,1310832,1,region,9,0,127
08jan2017,614022,1,region,10,0,88
08jan2017,31729,1,region,11,0,5
08jan2017,13276,1,region,12,0,6
08jan2017,1562683,1,age,40,0,12
08jan2017,1578893,1,age,50,0,89
08jan2017,1521549,1,age,60,0,209
08jan2017,1165850,1,age,70,0,258
08jan2017,833484,1,age,80,0,225
08jan2017,426447,1,age,90,0,185
08jan2017,90803,1,age,100,0,32
15jan2017,3782781,2,ethnicity,0,0,474
15jan2017,293498,2,ethnicity,1,0,28
15jan2017,3620552,2,gender,1,0,264
15jan2017,7179759,2,overall,1,0,876
15jan2017,248147,2,region,1,0,29
15jan2017,180475,2,ethnicity,2,0,11
15jan2017,3559207,2,gender,2,0,612
15jan2017,1225667,2,region,2,0,201
15jan2017,86706,2,ethnicity,3,0,8
15jan2017,259821,2,region,3,0,33
15jan2017,56114,2,ethnicity,4,0,5
15jan2017,172572,2,region,4,0,22
15jan2017,2780185,2,ethnicity,5,0,352
15jan2017,1157526,2,region,5,0,154
15jan2017,354812,2,region,6,0,35
15jan2017,879690,2,region,7,0,113
15jan2017,911389,2,region,8,0,90
15jan2017,1311232,2,region,9,0,113
15jan2017,613926,2,region,10,0,76
15jan2017,31715,2,region,11,0,5
15jan2017,13262,2,region,12,0,7
15jan2017,1563679,2,age,40,0,9
15jan2017,1579410,2,age,50,0,73
15jan2017,1521819,2,age,60,0,176
15jan2017,1165840,2,age,70,0,208
15jan2017,833156,2,age,80,0,197
15jan2017,425611,2,age,90,0,172
15jan2017,90244,2,age,100,0,41
