weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,4814510,0,ethnicity,0,0,184
01jan2017,425917,0,ethnicity,1,0,6
01jan2017,4921693,0,gender,1,0,170
01jan2017,9863903,0,overall,1,0,322
01jan2017,343510,0,region,1,0,8
01jan2017,261552,0,ethnicity,2,0,5
01jan2017,4942210,0,gender,2,0,152
01jan2017,1690063,0,region,2,0,43
01jan2017,147583,0,ethnicity,3,0,5
01jan2017,371809,0,region,3,0,18
01jan2017,94174,0,ethnicity,4,0,5
01jan2017,259468,0,region,4,0,14
01jan2017,4120167,0,ethnicity,5,0,122
01jan2017,1571832,0,region,5,0,42
01jan2017,464376,0,region,6,0,16
01jan2017,1185045,0,region,7,0,41
01jan2017,1242192,0,region,8,0,43
01jan2017,1842724,0,region,9,0,70
01jan2017,827239,0,region,10,0,27
01jan2017,47713,0,region,11,0,0
01jan2017,17932,0,region,12,0,0
01jan2017,1233387,0,age,20,0,55
01jan2017,1455550,0,age,30,0,93
01jan2017,1559933,0,age,40,0,73
01jan2017,1577507,0,age,50,0,47
01jan2017,1520720,0,age,60,0,30
01jan2017,1165390,0,age,70,0,16
01jan2017,833570,0,age,80,0,6
01jan2017,426769,0,age,90,0,5
01jan2017,91077,0,age,100,0,5
08jan2017,4819250,1,ethnicity,0,0,241
08jan2017,426422,1,ethnicity,1,0,17
08jan2017,4926224,1,gender,1,0,217
08jan2017,9872785,1,overall,1,0,392
08jan2017,343497,1,region,1,0,8
08jan2017,261928,1,ethnicity,2,0,5
08jan2017,4946561,1,gender,2,0,175
08jan2017,1690788,1,region,2,0,64
08jan2017,148011,1,ethnicity,3,0,5
08jan2017,372038,1,region,3,0,15
08jan2017,94319,1,ethnicity,4,0,0
08jan2017,259469,1,region,4,0,22
08jan2017,4122855,1,ethnicity,5,0,127
08jan2017,1572931,1,region,5,0,43
08jan2017,464560,1,region,6,0,17
08jan2017,1186534,1,region,7,0,51
08jan2017,1243418,1,region,8,0,55
08jan2017,1845907,1,region,9,0,82
08jan2017,827980,1,region,10,0,33
08jan2017,47733,1,region,11,0,5
08jan2017,17930,1,region,12,0,5
08jan2017,1234342,1,age,20,0,48
08jan2017,1458734,1,age,30,0,113
08jan2017,1562683,1,age,40,0,105
08jan2017,1578893,1,age,50,0,55
08jan2017,1521549,1,age,60,0,41
08jan2017,1165850,1,age,70,0,18
08jan2017,833484,1,age,80,0,8
08jan2017,426447,1,age,90,0,5
08jan2017,90803,1,age,100,0,5
15jan2017,4820468,2,ethnicity,0,0,204
15jan2017,426724,2,ethnicity,1,0,7
15jan2017,4927132,2,gender,1,0,188
15jan2017,9874887,2,overall,1,0,368
15jan2017,343365,2,region,1,0,12
15jan2017,262014,2,ethnicity,2,0,5
15jan2017,4947755,2,gender,2,0,180
15jan2017,1690629,2,region,2,0,75
15jan2017,148153,2,ethnicity,3,0,5
15jan2017,372093,2,region,3,0,17
15jan2017,94392,2,ethnicity,4,0,5
15jan2017,259389,2,region,4,0,10
15jan2017,4123136,2,ethnicity,5,0,148
15jan2017,1572363,2,region,5,0,55
15jan2017,464596,2,region,6,0,16
15jan2017,1188052,2,region,7,0,61
15jan2017,1243739,2,region,8,0,43
15jan2017,1847097,2,region,9,0,52
15jan2017,827932,2,region,10,0,25
15jan2017,47720,2,region,11,0,5
15jan2017,17912,2,region,12,0,5
15jan2017,1235055,2,age,20,0,45
15jan2017,1460073,2,age,30,0,121
15jan2017,1563679,2,age,40,0,76
15jan2017,1579410,2,age,50,0,51
15jan2017,1521819,2,age,60,0,42
15jan2017,1165840,2,age,70,0,24
15jan2017,833156,2,age,80,0,8
15jan2017,425611,2,age,90,0,5
15jan2017,90244,2,age,100,0,0
22jan2017,4819973,3,ethnicity,0,0,230
22jan2017,427024,3,ethnicity,1,0,14
22jan2017,4927041,3,gender,1,0,228
22jan2017,9874708,3,overall,1,0,400
22jan2017,343325,3,region,1,0,11
22jan2017,262122,3,ethnicity,2,0,5
22jan2017,4947667,3,gender,2,0,172
22jan2017,1690778,3,region,2,0,78
22jan2017,148289,3,ethnicity,3,0,5
22jan2017,372142,3,region,3,0,8
22jan2017,94465,3,ethnicity,4,0,5
22jan2017,259250,3,region,4,0,21
22jan2017,4122835,3,ethnicity,5,0,149
