weekDate,numEligible,time,stratifier,category,lockdown,numOutcome
01jan2017,4814510,0,ethnicity,0,0,896
01jan2017,425917,0,ethnicity,1,0,52
01jan2017,4921693,0,gender,1,0,912
01jan2017,9863903,0,overall,1,0,1612
01jan2017,343510,0,region,1,0,78
01jan2017,261552,0,ethnicity,2,0,28
01jan2017,4942210,0,gender,2,0,700
01jan2017,1690063,0,region,2,0,311
01jan2017,147583,0,ethnicity,3,0,5
01jan2017,371809,0,region,3,0,65
01jan2017,94174,0,ethnicity,4,0,31
01jan2017,259468,0,region,4,0,65
01jan2017,4120167,0,ethnicity,5,0,604
01jan2017,1571832,0,region,5,0,251
01jan2017,464376,0,region,6,0,40
01jan2017,1185045,0,region,7,0,228
01jan2017,1242192,0,region,8,0,146
01jan2017,1842724,0,region,9,0,304
01jan2017,827239,0,region,10,0,117
01jan2017,47713,0,region,11,0,5
01jan2017,17932,0,region,12,0,5
01jan2017,1233387,0,age,20,0,371
01jan2017,1455550,0,age,30,0,450
01jan2017,1559933,0,age,40,0,258
01jan2017,1577507,0,age,50,0,265
01jan2017,1520720,0,age,60,0,146
01jan2017,1165390,0,age,70,0,66
01jan2017,833570,0,age,80,0,34
01jan2017,426769,0,age,90,0,18
01jan2017,91077,0,age,100,0,5
08jan2017,4819250,1,ethnicity,0,0,983
08jan2017,426422,1,ethnicity,1,0,71
08jan2017,4926224,1,gender,1,0,1034
08jan2017,9872785,1,overall,1,0,1790
08jan2017,343497,1,region,1,0,56
08jan2017,261928,1,ethnicity,2,0,34
08jan2017,4946561,1,gender,2,0,756
08jan2017,1690788,1,region,2,0,301
08jan2017,148011,1,ethnicity,3,0,27
08jan2017,372038,1,region,3,0,71
08jan2017,94319,1,ethnicity,4,0,18
08jan2017,259469,1,region,4,0,58
08jan2017,4122855,1,ethnicity,5,0,657
08jan2017,1572931,1,region,5,0,251
08jan2017,464560,1,region,6,0,48
08jan2017,1186534,1,region,7,0,304
08jan2017,1243418,1,region,8,0,150
08jan2017,1845907,1,region,9,0,409
08jan2017,827980,1,region,10,0,132
08jan2017,47733,1,region,11,0,8
08jan2017,17930,1,region,12,0,5
08jan2017,1234342,1,age,20,0,398
08jan2017,1458734,1,age,30,0,469
08jan2017,1562683,1,age,40,0,270
08jan2017,1578893,1,age,50,0,283
08jan2017,1521549,1,age,60,0,199
08jan2017,1165850,1,age,70,0,82
08jan2017,833484,1,age,80,0,59
08jan2017,426447,1,age,90,0,24
08jan2017,90803,1,age,100,0,6
15jan2017,4820468,2,ethnicity,0,0,1001
15jan2017,426724,2,ethnicity,1,0,57
15jan2017,4927132,2,gender,1,0,1128
15jan2017,9874887,2,overall,1,0,1918
15jan2017,343365,2,region,1,0,77
15jan2017,262014,2,ethnicity,2,0,45
15jan2017,4947755,2,gender,2,0,790
15jan2017,1690629,2,region,2,0,332
15jan2017,148153,2,ethnicity,3,0,20
15jan2017,372093,2,region,3,0,57
15jan2017,94392,2,ethnicity,4,0,19
15jan2017,259389,2,region,4,0,69
15jan2017,4123136,2,ethnicity,5,0,776
15jan2017,1572363,2,region,5,0,258
15jan2017,464596,2,region,6,0,54
15jan2017,1188052,2,region,7,0,289
15jan2017,1243739,2,region,8,0,186
15jan2017,1847097,2,region,9,0,478
15jan2017,827932,2,region,10,0,115
15jan2017,47720,2,region,11,0,5
15jan2017,17912,2,region,12,0,0
15jan2017,1235055,2,age,20,0,449
15jan2017,1460073,2,age,30,0,488
15jan2017,1563679,2,age,40,0,284
15jan2017,1579410,2,age,50,0,273
15jan2017,1521819,2,age,60,0,225
15jan2017,1165840,2,age,70,0,98
15jan2017,833156,2,age,80,0,65
15jan2017,425611,2,age,90,0,30
15jan2017,90244,2,age,100,0,6
22jan2017,4819973,3,ethnicity,0,0,1010
22jan2017,427024,3,ethnicity,1,0,72
22jan2017,4927041,3,gender,1,0,1170
22jan2017,9874708,3,overall,1,0,1928
22jan2017,343325,3,region,1,0,78
22jan2017,262122,3,ethnicity,2,0,45
22jan2017,4947667,3,gender,2,0,758
22jan2017,1690778,3,region,2,0,342
22jan2017,148289,3,ethnicity,3,0,23
22jan2017,372142,3,region,3,0,65
22jan2017,94465,3,ethnicity,4,0,27
22jan2017,259250,3,region,4,0,77
22jan2017,4122835,3,ethnicity,5,0,751
22jan2017,1572302,3,region,5,0,271
22jan2017,464595,3,region,6,0,58
22jan2017,1186348,3,region,7,0,283
22jan2017,1242998,3,region,8,0,189
22jan2017,1849372,3,region,9,0,439
22jan2017,827979,3,region,10,0,118
22jan2017,47709,3,region,11,0,5
22jan2017,17910,3,region,12,0,5
22jan2017,1235404,3,age,20,0,471
22jan2017,1460758,3,age,30,0,516
22jan2017,1564322,3,age,40,0,280
