"","outcome_name","_2020-03-08_3","_2020-03-08_5","_2020-03-08_7","_2020-03-22_3","_2020-03-22_5","_2020-03-22_7","_2020-03-23_0"
"1","Diabetic Emergencies","0.35 (0.25-0.5)","0.41 (0.29-0.58)","0.42 (0.29-0.61)","0.43 (0.3-0.61)","0.44 (0.3-0.64)","0.49 (0.33-0.72)","0.38 (0.27-0.53)"
"2","Acute Alcohol-Related Event","0.98 (0.89-1.1)","1.2 (1.1-1.3)","1.3 (1.2-1.4)","1.3 (1.2-1.5)","1.4 (1.3-1.6)","1.6 (1.4-1.8)","1.2 (1.1-1.3)"
"3","Anxiety","0.67 (0.66-0.67)","0.69 (0.68-0.7)","0.72 (0.71-0.73)","0.7 (0.69-0.7)","0.73 (0.72-0.73)","0.74 (0.73-0.75)","0.68 (0.68-0.69)"
"4","Depression","0.53 (0.52-0.53)","0.55 (0.55-0.56)","0.59 (0.59-0.6)","0.56 (0.55-0.56)","0.6 (0.59-0.6)","0.63 (0.62-0.63)","0.55 (0.54-0.55)"
"5","Eating Disorders","0.62 (0.59-0.66)","0.67 (0.63-0.71)","0.71 (0.67-0.76)","0.68 (0.64-0.73)","0.73 (0.68-0.78)","0.72 (0.67-0.77)","0.65 (0.61-0.69)"
"6","OCD","0.69 (0.64-0.74)","0.78 (0.72-0.84)","0.88 (0.81-0.95)","0.78 (0.73-0.84)","0.88 (0.82-0.95)","0.91 (0.84-0.99)","0.7 (0.65-0.75)"
"7","Self-harm","0.56 (0.54-0.58)","0.67 (0.65-0.69)","0.74 (0.71-0.77)","0.7 (0.68-0.72)","0.78 (0.75-0.8)","0.81 (0.78-0.84)","0.67 (0.65-0.7)"
"8","Severe Mental Illness","0.8 (0.78-0.83)","0.87 (0.85-0.9)","0.92 (0.9-0.95)","0.88 (0.86-0.91)","0.93 (0.9-0.96)","0.93 (0.9-0.96)","0.82 (0.8-0.84)"
"9","Cerebrovascular Accident","0.59 (0.56-0.62)","0.62 (0.59-0.65)","0.66 (0.63-0.7)","0.64 (0.61-0.68)","0.69 (0.66-0.73)","0.74 (0.7-0.79)","0.65 (0.62-0.68)"
"10","Transient Ischaemic Attacks","0.63 (0.58-0.67)","0.7 (0.65-0.76)","0.77 (0.71-0.84)","0.73 (0.67-0.78)","0.81 (0.74-0.88)","0.86 (0.78-0.93)","0.67 (0.62-0.72)"
"11","Heart Failure","0.62 (0.6-0.64)","0.65 (0.63-0.67)","0.69 (0.67-0.71)","0.66 (0.64-0.68)","0.7 (0.68-0.72)","0.75 (0.73-0.78)","0.64 (0.62-0.66)"
"12","Myocardial Infarction","0.72 (0.68-0.77)","0.78 (0.73-0.84)","0.86 (0.8-0.92)","0.82 (0.77-0.88)","0.9 (0.84-0.97)","0.99 (0.92-1.1)","0.79 (0.74-0.84)"
"13","Unstable Angina","0.72 (0.6-0.87)","0.87 (0.72-1)","0.96 (0.79-1.2)","0.87 (0.72-1.1)","0.97 (0.79-1.2)","1.2 (0.97-1.4)","0.74 (0.61-0.89)"
"14","Venous Thromboembolism","0.94 (0.9-0.99)","1 (0.96-1.1)","1 (0.98-1.1)","1.1 (1-1.1)","1.1 (1-1.2)","1.1 (1.1-1.2)","1 (0.96-1.1)"
"15","Asthma exacerbations","0.88 (0.86-0.9)","0.79 (0.78-0.81)","0.75 (0.73-0.77)","0.73 (0.71-0.74)","0.68 (0.67-0.7)","0.66 (0.65-0.68)","0.75 (0.74-0.77)"
"16","COPD exacerbations","0.58 (0.56-0.6)","0.53 (0.51-0.55)","0.53 (0.51-0.55)","0.53 (0.51-0.55)","0.53 (0.51-0.55)","0.52 (0.5-0.54)","0.59 (0.57-0.6)"
